Test name,Test taken on,Total questions,Items attempted,Items not attempted,Answered correct,Answered wrong,Score,Percentage,Grade
01204111 Midterm Examination 2564-1,22-08-2021 09:01:24 AM,42,42,0,34,8,32,80,P
01204111 Midterm Examination 2564-1,22-08-2021 09:01:12 AM,42,42,0,31,11,29,72.5,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:59 AM,42,42,0,36,6,34,85,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:57 AM,42,42,0,40,2,38,95,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:54 AM,42,42,0,39,3,37,92.5,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:53 AM,42,42,0,13,29,11,27.5,F
01204111 Midterm Examination 2564-1,22-08-2021 09:00:49 AM,42,42,0,35,7,33,82.5,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:48 AM,42,40,2,40,0,40,100,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:45 AM,42,42,0,37,5,35,87.5,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:45 AM,42,42,0,30,12,28,70,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:40 AM,42,42,0,36,6,34,85,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:38 AM,42,42,0,39,3,37,92.5,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:37 AM,42,42,0,35,7,33,82.5,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:36 AM,42,42,0,40,2,38,95,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:36 AM,42,42,0,41,1,39,97.5,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:35 AM,42,42,0,40,2,38,95,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:34 AM,42,42,0,35,7,33,82.5,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:33 AM,42,42,0,40,2,38,95,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:33 AM,42,42,0,38,4,36,90,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:33 AM,42,42,0,39,3,37,92.5,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:32 AM,42,42,0,35,7,33,82.5,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:30 AM,42,42,0,38,4,36,90,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:28 AM,42,42,0,35,7,33,82.5,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:27 AM,42,42,0,39,3,37,92.5,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:25 AM,42,42,0,40,2,38,95,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:25 AM,42,42,0,34,8,32,80,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:25 AM,42,42,0,30,12,28,70,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:24 AM,42,42,0,40,2,38,95,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:24 AM,42,42,0,36,6,34,85,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:23 AM,42,42,0,41,1,39,97.5,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:23 AM,42,42,0,27,15,25,62.5,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:22 AM,42,42,0,37,5,35,87.5,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:21 AM,42,42,0,22,20,20,50,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:20 AM,42,42,0,39,3,37,92.5,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:19 AM,42,42,0,24,18,22,55,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:19 AM,42,42,0,30,12,28,70,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:18 AM,42,42,0,30,12,28,70,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:18 AM,42,42,0,41,1,39,97.5,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:18 AM,42,42,0,37,5,35,87.5,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:17 AM,42,42,0,41,1,39,97.5,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:16 AM,42,42,0,34,8,32,80,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:15 AM,42,42,0,37,5,35,87.5,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:15 AM,42,42,0,37,5,35,87.5,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:15 AM,42,42,0,41,1,39,97.5,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:15 AM,42,42,0,36,6,34,85,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:14 AM,42,42,0,41,1,39,97.5,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:13 AM,42,42,0,29,13,27,67.5,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:13 AM,42,42,0,32,10,30,75,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:13 AM,42,42,0,33,9,31,77.5,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:12 AM,42,42,0,35,7,33,82.5,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:12 AM,42,42,0,29,13,27,67.5,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:12 AM,42,42,0,31,11,29,72.5,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:12 AM,42,42,0,41,1,39,97.5,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:11 AM,42,42,0,37,5,35,87.5,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:10 AM,42,42,0,36,6,34,85,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:10 AM,42,42,0,36,6,34,85,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:10 AM,42,42,0,24,18,22,55,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:10 AM,42,42,0,34,8,32,80,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:09 AM,42,42,0,39,3,37,92.5,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:09 AM,42,42,0,39,3,37,92.5,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:09 AM,42,42,0,30,12,28,70,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:09 AM,42,42,0,34,8,32,80,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:08 AM,42,42,0,28,14,26,65,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:08 AM,42,42,0,39,3,37,92.5,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:07 AM,42,42,0,32,10,30,75,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:06 AM,42,42,0,41,1,39,97.5,P
01204111 Midterm Examination 2564-1,22-08-2021 09:00:05 AM,42,42,0,40,2,38,95,P
01204111 Agreement 2564-1,22-08-2021 08:47:54 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:47:50 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:47:30 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:39 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:35 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:33 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:31 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:29 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:28 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:20 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:17 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:17 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:17 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:16 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:16 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:16 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:16 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:16 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:15 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:15 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:15 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:15 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:15 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:14 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:14 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:13 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:13 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:11 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:11 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:11 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:11 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:10 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:10 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:10 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:10 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:09 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:09 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:09 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:09 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:09 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:08 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:07 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:07 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:07 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:07 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:07 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:07 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:06 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:06 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:06 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:06 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:06 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:06 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:06 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:06 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:06 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:06 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:05 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:05 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:05 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:05 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:05 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:05 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:04 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:04 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:02 AM,6,4,2,4,0,0,0,F
01204111 Agreement 2564-1,22-08-2021 08:46:00 AM,6,4,2,4,0,0,0,F